Column,dipl,HS_corr,HS_persname,HS_persname_check,HS_comment,HS_link,dipl_ctx_lr15,pb_n,doc,persname,dipl-ids
257,C. B.,,Caspar Bauhin,true,empty,empty,B. II . 912 . Naſturtium vulgare hortenſe flore rubeolo Kram. 22 . Naſturtium vulgatum C. B. pin. 103 . Tourn. 213 . Rupp. 86 . Boerh. II. 8 . Lepidium foliis,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Caspar_Bauhin,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok4023_virtualSpan', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok4024_virtualSpan']"
258,C. B,,Caspar Bauhin,true,empty,empty,Brunella officinarum flore purpureo vel cæruleo Heuch. Ind. 24 . Brunella major folio non diffecto C. B pin. 260 . Tourn. 182 . Rupp. 180 . Boerh. I. 169 . Vaill. 22,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Caspar_Bauhin,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok4355_virtualSpan', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok4356_virtualSpan']"
259,C. Bauh.,,Caspar Bauhin,true,empty,empty,Deutschl. Flor. P. I. p. 290 . Absinthium ponticum seu romanum officinarum seu dioscoridis . C. Bauh. pin. p. 138 . Buxb. Halens. p. 2 . Hoppe Flor. Ger. p. 119 .,NaN,GetreueDarstellungUndBeschreibung_1809_Hayne,Caspar_Bauhin,"['RIDGES_Herbology_Version9.0/GetreueDarstellungUndBeschreibung_1809_Hayne#sTok194_virtualSpan', 'RIDGES_Herbology_Version9.0/GetreueDarstellungUndBeschreibung_1809_Hayne#sTok195_virtualSpan']"
260,C. B.,,Caspar Bauhin,true,empty,empty,"Enden mehr zuge⸗ ſpitzt und mit einem weiſen eckigten Flecken bezeichnet , dergleichen Veraͤnderungen ſchon C. B. pin. 327. und andere mehr angemercket haben . Ob das Trifolium pratenſe ſimile maius Rai.",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Caspar_Bauhin,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok2156_virtualSpan', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok2157_virtualSpan']"
261,C. B.,,Caspar Bauhin,true,empty,empty,F. B. III . P. I. 168 . Abſinthium Ponticum ſeu Romanum officinarum ſeu Dioſcoridis C. B. pin. 138 . Tourn. 457 . Rupp. 196 . Dill. 157 . Boerh. I. 126,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Caspar_Bauhin,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok326_virtualSpan', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok327_virtualSpan']"
262,C. B.,,Caspar Bauhin,true,empty,empty,I. 6 . 5. NOM. SPEC. Conſlida regalis hortenfis flore majore & ſimplici cœruleo elegantiſſimo C. B. pin. 142 . Flos regius . Dod. 252 . Delphinium majus five vulgare Park. Par.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Caspar_Bauhin,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok5250_virtualSpan', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok5251_virtualSpan']"
263,C. Bauh.,,Caspar Bauhin,true,empty,empty,III. p. 509 . Hoffm. Deutschl. Flor. P. I. p. 237 . Erysimum vulgare . C. Bauh. pin. p. 100 . Bergen Flor. Francof. p. 121 . n. 1 Buxb. Ha- lens.,NaN,GetreueDarstellungUndBeschreibung_1809_Hayne,Caspar_Bauhin,"['RIDGES_Herbology_Version9.0/GetreueDarstellungUndBeschreibung_1809_Hayne#sTok2249_virtualSpan', 'RIDGES_Herbology_Version9.0/GetreueDarstellungUndBeschreibung_1809_Hayne#sTok2250_virtualSpan']"
264,C. BAUHINO,,Caspar Bauhin,true,empty,empty,"iſt zuweilen purpur⸗ faͤrbig , wie RAIUS Hiſt. 1. c. angemercket , dergleichen Blume von C. BAUHINO 1. c. flos ex purpura nigreſcens genennet wird , bey dem TOURNEFORT aber p. 392.",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Caspar_Bauhin,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok1702_virtualSpan', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok1703_virtualSpan']"
265,C. B.,,Caspar Bauhin,true,empty,empty,Luávv. n. 606 . 5. NOM. SPEC. Eupatorium Fuchſ. 244 . Eupatorium veterum ſive Agrimonia C. B. pin. 321 . Eupatorium Dioſcoridis & aliorum Græcotum Geſn. hort. 258 . a. Eupatorium Dioſcoridis,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Caspar_Bauhin,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok2550_virtualSpan', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok2551_virtualSpan']"
266,C. B.,,Caspar Bauhin,true,empty,empty,n. 486 . 5. NOM. . SPEC. _ five Phaſcolus major Dod. 513 . Faba C. B. pin. 338 . Rai. I. 909 Syn. 323 . Riv. II . Tab. 23 .,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Caspar_Bauhin,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok1445_virtualSpan', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok1446_virtualSpan']"
267,C. Bauh.,,Caspar Bauhin,true,empty,empty,p. 307 . Hoffm. Deutschl. Flor. P. I. p. 291 . Artemisia vulgaris major . C. Bauh. pin. p. 137 . Rupp. Jen. p. 196 . Artemisia vulgaris . Joh. Bauh. hist.,NaN,GetreueDarstellungUndBeschreibung_1809_Hayne,Caspar_Bauhin,"['RIDGES_Herbology_Version9.0/GetreueDarstellungUndBeschreibung_1809_Hayne#sTok1338_virtualSpan', 'RIDGES_Herbology_Version9.0/GetreueDarstellungUndBeschreibung_1809_Hayne#sTok1339_virtualSpan']"
268,C. Bauh.,,Caspar Bauhin,true,empty,empty,"ſelten roͤthlichte Blumen c. gefunden , welche Varietaͤt deswegen genennet wird Millefolium purpureum ma- jus C. Bauh. pin. 140 . Wir haben zuweilen dergleichen rothe und weiſe Blumen auf einer Pflanze gefunden",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Caspar_Bauhin,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok1154_virtualSpan', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok1155_virtualSpan']"
269,C. B.,,Caspar Bauhin,true,empty,empty,"varietaͤt der gemeinen Art halten , als deſſen Blaͤt⸗ ter gantz und ſeichte eingekerbt von C. B. 1 . c. angemercket ſind . TAB. 25 . Lat. Caprifolium , Periclymenum . Germ.",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Caspar_Bauhin,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok4624_virtualSpan', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok4625_virtualSpan']"
270,BAUH.,persname anpassen,Caspar Bauhin,false,"""BAUH pin. p. 2"" für ""Gramen"" bezieht sich auf Pinax theatri botanici (1623) - dieses nur von Caspar Bauhin verfasst
","https://www.digitale-sammlungen.de/de/view/bsb10229417?page=32,33",". RAJ. hiſt. 1256 . SCHLEUCHZ. agroſt. 76 . Gramen caninum maritimum , ſpica aſpera. BAUH. prodr. p. 2 . cum fig. MORIS. hiſt. 3. p. 177 . ſ. 8. t.",45,BeschreibungDerGraeser-c37-48_1769_Schrebers,Caspar_Bauhin | Johann_Bauhin,"['RIDGES_Herbology_Version9.0/BeschreibungDerGraeser-c37-48_1769_Schrebers#sSpan31852', 'RIDGES_Herbology_Version9.0/BeschreibungDerGraeser-c37-48_1769_Schrebers#sTok31853_virtualSpan']"
271,BAUH.,persname anpassen,Caspar Bauhin,false,"""BAUH pin. p. 2"" für ""Gramen"" bezieht sich auf Pinax theatri botanici (1623) - dieses nur von Caspar Bauhin verfasst
","https://www.digitale-sammlungen.de/de/view/bsb10229417?page=32,33",3. p. 177 . ſ. 8. t. 2. f. 4 . Gramen parvum echinatum . BAUH. hiſt 2. p. 467 . MONT. prodr. p. 64 . SEGUIER. veron. I. p. 359,45,BeschreibungDerGraeser-c37-48_1769_Schrebers,Caspar_Bauhin | Johann_Bauhin,"['RIDGES_Herbology_Version9.0/BeschreibungDerGraeser-c37-48_1769_Schrebers#sSpan31854', 'RIDGES_Herbology_Version9.0/BeschreibungDerGraeser-c37-48_1769_Schrebers#sTok31855_virtualSpan']"
272,BAUH.,persname anpassen,Caspar Bauhin,false,"""BAUH pin. p. 2"" für ""Gramen"" bezieht sich auf Pinax theatri botanici (1623) - dieses nur von Caspar Bauhin verfasst","https://www.digitale-sammlungen.de/de/view/bsb10229417?page=32,33","echinatis . GERARD. fl. gallopr. p. 83 . Gramen caninum maritimum , ſpica echinata . BAUH. pin. p. 2 . RAJ. hiſt. 1256 . SCHLEUCHZ. agroſt. 76 . Gramen caninum maritimum",45,BeschreibungDerGraeser-c37-48_1769_Schrebers,Caspar_Bauhin | Johann_Bauhin,"['RIDGES_Herbology_Version9.0/BeschreibungDerGraeser-c37-48_1769_Schrebers#sSpan31849', 'RIDGES_Herbology_Version9.0/BeschreibungDerGraeser-c37-48_1769_Schrebers#sTok31850_virtualSpan']"
273,Caſp. Hoffmann,,Caspar Hoffmann,true,empty,empty,"ſe und Reyſen , daher ſein teutſcher Nahmen Beyfuſz kommen ſoll . Ob nun wohl Caſp. Hoffmann , und andere ſich daruͤber mocquiren und gegen dergleichen Ermuͤdung lieber ein vier⸗ fuͤſſig Thier",464,ViridariumReformatum_1719_Valentini,Caspar_Hoffmann,"['RIDGES_Herbology_Version9.0/ViridariumReformatum_1719_Valentini#sTok2893_virtualSpan', 'RIDGES_Herbology_Version9.0/ViridariumReformatum_1719_Valentini#sTok2894_virtualSpan']"
274,CASP. HOFMANNVS,,Caspar Hoffmann,true,empty,empty,"vollkom⸗ men wird . Dieſe gemeine Odermeng wird von den meiſten ohne Geruch beſchrieben ; CASP. HOFMANNVS de medicam . oſſic. lib. II. c. 88. aber bejahet , daſz ſie an einigen",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Caspar_Hoffmann,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok2788_virtualSpan', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok2789_virtualSpan']"
275,Carolus Cluſıus,,Charles de l’Écluse,true,empty,empty,"Gallis deles pargoute , Matricaire Marone un̄ Eſpargoutte . Be⸗ yemilch Rzimbada / Ungeriſch wie Carolus Cluſıus be⸗ zeugt Benediƈta vnnd alba Benediƈta . Auff Engliſch Feuerfew und Fedderfew / Niderlaͤndiſch vnd",38,NeuwKreuterbuch_1588_Theodorus,Charles_de_l’Écluse,"['RIDGES_Herbology_Version9.0/NeuwKreuterbuch_1588_Theodorus#sTok2536_virtualSpan', 'RIDGES_Herbology_Version9.0/NeuwKreuterbuch_1588_Theodorus#sTok2537_virtualSpan']"
276,Chirone,persname anpassen,Cheiron (Mythologie),false,"""besitzt Kenntnisse in der Arzneikunde, galt gelegentlich als Begründer der „Chirurgie“ und übernahm die Ausbildung des Asklepios zum Arzt.""",https://de.wikipedia.org/wiki/Cheiron,mit diſzem kraut . Hat alſo den nammen behalten / von dem genannten Chirone / Chironion geneñt / oder Cen taureum . Wiewol Hieronymus von Braunſchweyg ein andere meynũg,CCLXVI,ContrafaytKreuterbuch-CCLVII-CCLXX_1532_Brunfels,Chiron,"['RIDGES_Herbology_Version9.0/ContrafaytKreuterbuch-CCLVII-CCLXX_1532_Brunfels#sSpan24696', 'RIDGES_Herbology_Version9.0/ContrafaytKreuterbuch-CCLVII-CCLXX_1532_Brunfels#sTok24697_virtualSpan']"
277,Less.,,Christian Friedrich Lessing,true,empty,empty,"; die unfruchtbaren Zweige oft dornig . 1 Art im Kaplande , A. axillaris ( Less. ) Harvey . 577. Gymnopentzia Benth. Kf. ziemlich klein , in dichten Ebensträußen an den",283,NatürlichePflanzenfamilien_1887_Engler,Christian_Friedrich_Lessing,"['RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sSpan23585', 'RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sTok23586_virtualSpan']"
278,Less.,,Christian Friedrich Lessing,true,empty,empty,. — 1jährige oder ausdauernde Kräuter mit ungeteilten B. 5 Arten . C. elatinoides ( Less. ) Benth. et Hook. fil. in Chile ; C. orbicularis Lour. häufig im tropischen Asien,280,NatürlichePflanzenfamilien_1887_Engler,Christian_Friedrich_Lessing,"['RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sSpan23537', 'RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sTok23538_virtualSpan']"
279,Less.,,Christian Friedrich Lessing,true,empty,empty,". — Graufilziger Strauch mit ganzrandigen oder 2—3spaltigen B. 1 Art , C. artemisiodes Less. , auf Luzon und in China bei Canton . Die Gattung ist nach A. Gray",282,NatürlichePflanzenfamilien_1887_Engler,Christian_Friedrich_Lessing,"['RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sSpan23574', 'RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sTok23575_virtualSpan']"
280,Less.,,Christian Friedrich Lessing,true,empty,empty,") , 5 auf Neuseeland und auf den Inseln Auckland und Campbell . 569. Schistostephium Less. Kf. teils klein und ebensträußig , teils größer und einzeln ; Hüllb. ∞reihig ; ♀",281,NatürlichePflanzenfamilien_1887_Engler,Christian_Friedrich_Lessing,"['RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sSpan23547', 'RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sTok23548_virtualSpan']"
281,Less.,,Christian Friedrich Lessing,true,empty,empty,"fiederförmig eingeschnittenen B. 1 Art in Turkestan , Tr. karataviensis Rgl. et Schmalh. 581. Stilpnophytum Less. Kf. ziemlich klein bis mittelgroß , ebensträußig , homo- gam ; Hülle ∞reihig ; $",283,NatürlichePflanzenfamilien_1887_Engler,Christian_Friedrich_Lessing,"['RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sSpan23599', 'RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sTok23600_virtualSpan']"
282,Less.,,Christian Friedrich Lessing,true,empty,empty,"H. A. , Munnozia R. P. , Prionolepis P. E. , Chrysastrum W. , Alibum Less. , Erato DC. , Kastnera Schultz Bip. ) . 584. Allendea Llav. et Lex. Kf.",285,NatürlichePflanzenfamilien_1887_Engler,Christian_Friedrich_Lessing,"['RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sSpan23624', 'RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sTok23625_virtualSpan']"
283,Less.,,Christian Friedrich Lessing,true,empty,empty,"Ost- australien . Außerdem noch 3 Arten in Chile . 566. Centipedia Lour. ( Myriogyne Less. ) Kf. klein , zuletzt kugelig , an den Zweigen sitzend ( endständig , scheinbar",280,NatürlichePflanzenfamilien_1887_Engler,Christian_Friedrich_Lessing,"['RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sSpan23536', 'RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sTok23537_virtualSpan']"
284,Less.,,Christian Friedrich Lessing,true,empty,empty,"Vill. ( rasig mit einfachen Stengeln und traubig-ährigem Blütenstand ) , häufige Alpenpfl. 572. Crossostephium Less. Von der vorigen durch zahlreichere ( ungefähr 2reihige ) ♀ Randbl. und die durch 5",282,NatürlichePflanzenfamilien_1887_Engler,Christian_Friedrich_Lessing,"['RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sSpan23573', 'RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sTok23574_virtualSpan']"
285,Ludvv.,,Christian Gottlieb Ludwig,true,empty,empty,. Boerh. II. 226 . Vaill. 27 . Heiſt. I. 7 . Hall. 464 . Ludvv. no. 278 . Lonicera Linn. G. no. 174 . Roy. 237 . 5. NOM. SPEC.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Christian_Gottlieb_Ludwig,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35444', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35445_virtualSpan']"
286,Ludvv.,,Christian Gottlieb Ludwig,true,empty,empty,. Kram. 73 . Artemiſia Linn. Gen. no. 779 Roy. 153 . Hall. 694 . Ludvv. n. 296 . 5. NOM. SPEC. Abſinthium flore luteo officinarum Heuch. Ind. 45 Abſinthium vulgare,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Christian_Gottlieb_Ludwig,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35213', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35214_virtualSpan']"
287,Ludvv.,,Christian Gottlieb Ludwig,true,empty,empty,. Linn. G. n. 713 . Roy. 377 . Hall. 580 . Kram. 46 . Ludvv. n. 473 . Tifo- lioides Knaut. meth. 84 . Triphylloides Ponted . Anth. 241 .,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Christian_Gottlieb_Ludwig,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35298', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35299_virtualSpan']"
288,Ludvv.,,Christian Gottlieb Ludwig,true,empty,empty,. Linn. G. no 535 . Roy. 482 . Hall. 314 . Kram. 67 . Ludvv. no. 740 . Calcatrippa . Cord. Hiſt. 159 . B. Heuch. Pr. II. 53 .,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Christian_Gottlieb_Ludwig,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35466', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35467_virtualSpan']"
289,Ludvv.,,Christian Gottlieb Ludwig,true,empty,empty,Boerh. II . 8 . Heiſt. I. 22 . Hall. 543 . Kram. 222 . Ludvv. n. 422 . Lepidium Linn. G. no. 645 . Roy. 334 . 5. NOM. SPEC,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Christian_Gottlieb_Ludwig,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35382', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35383_virtualSpan']"
290,Ludvv.,,Christian Gottlieb Ludwig,true,empty,empty,Heiſt. I. 6 . Linn. G. no. 586 . Hall. 636 . Kram. 50 . Ludvv. no. 201 . 5. NOM. SPEC. Conſolida minor Matth. 963 . Prunella . Ger. 632,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Christian_Gottlieb_Ludwig,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35409', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35410_virtualSpan']"
291,Ludvv.,,Christian Gottlieb Ludwig,true,empty,empty,Heiſt. II. 12 . Kram. 60 . Vicia Linn. G. no. 708 Roy. 366 . Ludvv. n. 486 . 5. NOM. . SPEC. _ five Phaſcolus major Dod. 513 . Faba,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Christian_Gottlieb_Ludwig,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35269', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35270_virtualSpan']"
292,Luavv.,,Christian Gottlieb Ludwig,true,empty,empty,Heiſt. II. 18 . Linn. G. n. 676 . Roy. 356 . Kram. 14 . Luavv. n. 144 . 5. NOM. SPEC. Malva officinarum flore majore rubro Heiſt. II. 18 .,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Christian_Gottlieb_Ludwig,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35359', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35360_virtualSpan']"
293,Ludvv.,,Christian Gottlieb Ludwig,true,empty,empty,"Pariſ . 320 . Linn. Gen. n. 794 . Roy. 175 . Hall. 712 . Ludvv. n. 358 . 5. NOM. SPEC . Stratiotes millefolia Fuchſ. 727 . Millefolium ſtratiotes ,",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Christian_Gottlieb_Ludwig,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35240', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35241_virtualSpan']"
294,Hufeland,,Christoph Wilhelm Hufeland,true,empty,empty,"abgekauft wurde . Wir übergehen die vielen Methoden und führen nur jene von Peſchier und Hufeland an , die am wenigſten beſchwerlich iſt . Sie laſſen 20 Pillen aus 1 Sernpel",325,GemeinnuetzigesKraeuterbuch_1874_Siegmund,Christoph_Wilhelm_Hufeland,"['RIDGES_Herbology_Version9.0/GemeinnuetzigesKraeuterbuch_1874_Siegmund#sSpan27470', 'RIDGES_Herbology_Version9.0/GemeinnuetzigesKraeuterbuch_1874_Siegmund#sTok27471_virtualSpan']"
295,Chryſippus,,Chrysippos von Soloi,true,empty,empty,"erſten beſchrieben hab / The- miſon den Wegerich / Muſcus vnd Heſiodus das Bergpolium / Chryſippus , Dieuches vnd Cato das Koͤlkraut / Zeno ein Stoicus die Cappern / Antinomachus den",NaN,NeuwKreuterbuch-VR_1588_Theodorus,Chrysippos_von_Soloi,"['RIDGES_Herbology_Version9.0/NeuwKreuterbuch-VR_1588_Theodorus#sSpan40188', 'RIDGES_Herbology_Version9.0/NeuwKreuterbuch-VR_1588_Theodorus#sTok40189_virtualSpan']"
296,Chryſippo,,Chrysippos von Soloi,true,empty,empty,wolryechen . Jſt etwan hoch vermaledeyet worden / vnd ver haſſet gemacht von dem heyde Chryſippo / welcher jm zůlegte / das es dem mag ⸗ en / augen / vnnd,CCXLV,ContrafaytKreuterbuch-CCXXXVII-CCXLVIII_1532_Brunfels,Chrysippos_von_Soloi,"['RIDGES_Herbology_Version9.0/ContrafaytKreuterbuch-CCXXXVII-CCXLVIII_1532_Brunfels#sSpan25035', 'RIDGES_Herbology_Version9.0/ContrafaytKreuterbuch-CCXXXVII-CCXLVIII_1532_Brunfels#sTok25036_virtualSpan']"
297,Clymene,persname anpassen,König Clymenus (?),false,keine eindeutige Zuordnung gelungen,empty,erfun⸗ den / die Waſſer Bethonien / ſonst Bachſchaum genannt / iſt von dẽ Koͤnig Clymene erfun⸗ den vnd / nach ſeinẽ Namen Clymenum noch auff den heutigen Tag geheiſſen .,NaN,NeuwKreuterbuch-VR_1588_Theodorus,Clymenus,"['RIDGES_Herbology_Version9.0/NeuwKreuterbuch-VR_1588_Theodorus#sSpan40217', 'RIDGES_Herbology_Version9.0/NeuwKreuterbuch-VR_1588_Theodorus#sTok40218_virtualSpan']"
298,Clymeno,persname anpassen,König Clymenus (?),false,keine eindeutige Zuordnung gelungen,empty,"vnd dadurch jre Namen in gedaͤchtnuſz erhalten worden ? was wiſte man von Gentio , Clymeno , Mithridate , Lyſimacho , den loͤbli⸗ chen Koͤnigen / wañ ſie ſich der Kreuter",NaN,NeuwKreuterbuch-VR_1588_Theodorus,Clymenus,"['RIDGES_Herbology_Version9.0/NeuwKreuterbuch-VR_1588_Theodorus#sSpan40228', 'RIDGES_Herbology_Version9.0/NeuwKreuterbuch-VR_1588_Theodorus#sTok40229_virtualSpan']"
299,GESN.,,Conrad Gessner,true,empty,empty,"2. p. 467 . MONT. prodr. p. 64 . SEGUIER. veron. I. p. 359 . GESN. faſc. I. p. 120. t. 3. f. 20 . Gramen caninum maritimum ſpicatum , echinatis",45,BeschreibungDerGraeser-c37-48_1769_Schrebers,Conrad_Gessner,"['RIDGES_Herbology_Version9.0/BeschreibungDerGraeser-c37-48_1769_Schrebers#sSpan31857', 'RIDGES_Herbology_Version9.0/BeschreibungDerGraeser-c37-48_1769_Schrebers#sTok31858_virtualSpan']"
300,Roſzbachs,persname anpassen,Konrad Roßbach,false,empty,empty,/ der Hoff⸗ nung / es werde jhm jedermann / bey⸗ des obgemeldtes Herrn Roſzbachs wolgemeynte Arbeit / wie auch mei⸗ nen angewendten zimblichen Ko⸗ ſten / gefallen laſſen /,NaN,Paradeiszgaertlein-VR_1588_Rosbach,Conrad_Roßbach,"['RIDGES_Herbology_Version9.0/Paradeiszgaertlein-VR_1588_Rosbach#sSpan16207', 'RIDGES_Herbology_Version9.0/Paradeiszgaertlein-VR_1588_Rosbach#sTok16208_virtualSpan']"
301,Conradum Roſzbach /,persname anpassen,Konrad Roßbach,false,empty,empty,ſich niemand finden woͤllen / hab ich zu⸗ letzt den Ehrwirdigen vnd Wolge⸗ lehrten Herrn Conradum Roſzbach / Pfarrherrn zu S. Johanns Berg in der Wetteraw / vermoͤgt vnd er⸗ betten / dieſe,NaN,Paradeiszgaertlein-VR_1588_Rosbach,Conrad_Roßbach,"['RIDGES_Herbology_Version9.0/Paradeiszgaertlein-VR_1588_Rosbach#sTok1649_virtualSpan', 'RIDGES_Herbology_Version9.0/Paradeiszgaertlein-VR_1588_Rosbach#sTok1650_virtualSpan', 'RIDGES_Herbology_Version9.0/Paradeiszgaertlein-VR_1588_Rosbach#sTok1651_virtualSpan']"
302,Conrad Weiſ⸗ ſen/,persname anpassen,Conrad Weiß von Limpurg,false,"einziger Sohn namens ""Conrad"" von Georg Weiß von Limpurg (d. Ä.)",https://www.lagis-hessen.de/de/subjects/idrec/sn/bio/id/5202,"I v - S T I N A , von Weiland dem Ehrn⸗ veſten Junckherrn Conrad Weiſ⸗ ſen/ / Euwer E. vnd T. Vielgeliebtes Herrn Brudern / vnnd ſeiner Hauſz⸗ frawen ſeligen /",NaN,Paradeiszgaertlein-VR_1588_Rosbach,Conrad_Weisen,"['RIDGES_Herbology_Version9.0/Paradeiszgaertlein-VR_1588_Rosbach#sTok2075_virtualSpan', 'RIDGES_Herbology_Version9.0/Paradeiszgaertlein-VR_1588_Rosbach#sTok2076_virtualSpan', 'RIDGES_Herbology_Version9.0/Paradeiszgaertlein-VR_1588_Rosbach#sTok2077_virtualSpan']"
